,days_left,DummyEconomy,price
5230,27,1,4926
5233,27,1,5026
5280,27,1,6181
5288,27,1,6933
5302,27,1,7940
5303,27,1,8024
5305,27,1,9158
5357,28,1,2476
5359,28,1,2476
5399,28,1,3554
5404,28,1,3831
5405,28,1,3831
5419,28,1,4161
5421,28,1,4161
5424,28,1,4433
5449,28,1,5026
5458,28,1,5241
5498,28,1,6181
5501,28,1,6452
5505,28,1,6890
5506,28,1,6933
5517,28,1,7940
5521,28,1,9998
5572,29,1,2476
5574,29,1,2476
5616,29,1,3831
5617,29,1,3831
5619,29,1,3831
5620,29,1,3831
5621,29,1,3855
5626,29,1,3855
5640,29,1,4161
5677,29,1,5241
5682,29,1,5446
5695,29,1,5927
5713,29,1,6181
5736,29,1,8024
5739,29,1,9898
5740,29,1,9935
5807,30,1,2476
5809,30,1,2476
5850,30,1,4146
5851,30,1,4146
5859,30,1,4286
5868,30,1,4590
5869,30,1,4590
5893,30,1,5241
5925,30,1,6002
5949,30,1,7761
5954,30,1,8570
5955,30,1,8592
5960,30,1,14355
6019,31,1,2476
6021,31,1,2476
6054,31,1,3855
6064,31,1,4146
6065,31,1,4146
6066,31,1,4161
6137,31,1,6034
6139,31,1,6141
6142,31,1,6181
6145,31,1,6181
6147,31,1,6242
6152,31,1,6365
6156,31,1,6933
6168,31,1,7940
6171,31,1,8895
6172,31,1,10050
6244,32,1,2476
6246,32,1,2476
6280,32,1,3831
6281,32,1,3831
6283,32,1,3831
6284,32,1,3831
6286,32,1,3855
6291,32,1,3855
6334,32,1,5241
6360,32,1,6002
6363,32,1,6181
6370,32,1,7215
6376,32,1,7310
6381,32,1,8024
6455,33,1,2476
6457,33,1,2476
6480,33,1,3554
6486,33,1,3831
6487,33,1,3831
6489,33,1,3855
6494,33,1,3855
6503,33,1,4161
6505,33,1,4161
6541,33,1,5241
6548,33,1,5446
6573,33,1,6181
6580,33,1,6890
6582,33,1,6933
6583,33,1,6995
6586,33,1,7187
6587,33,1,7215
6602,33,1,8592
6661,34,1,2476
6695,34,1,3831
6697,34,1,3831
6699,34,1,3831
6700,34,1,3831
6702,34,1,3855
6707,34,1,3855
6757,34,1,5446
6762,34,1,5640
6781,34,1,6181
6790,34,1,6933
6802,34,1,8024
6811,34,1,10155
6812,34,1,10250
6860,35,1,2476
6862,35,1,2476
6891,35,1,3554
6898,35,1,3831
6900,35,1,3855
6914,35,1,4161
6916,35,1,4161
6920,35,1,4251
6984,35,1,6002
6990,35,1,6181
6996,35,1,6890
6998,35,1,6933
7000,35,1,7005
7018,35,1,8447
7024,35,1,11615
7025,35,1,12255
7074,36,1,2476
7076,36,1,2476
7113,36,1,3831
7114,36,1,3831
7116,36,1,3831
7117,36,1,3831
7119,36,1,3855
7124,36,1,3855
7139,36,1,4161
7178,36,1,5241
7196,36,1,5927
7208,36,1,6002
7211,36,1,6181
7232,36,1,8024
7241,36,1,16392
7242,36,1,16613
7293,37,1,2476
7295,37,1,2476
7329,37,1,3764
7330,37,1,3831
7331,37,1,3831
7333,37,1,3855
7337,37,1,3855
7393,37,1,5446
7398,37,1,5640
7446,37,1,7341
7452,37,1,7940
7454,37,1,8265
7455,37,1,8592
7494,38,1,2476
7495,38,1,2476
7531,38,1,3831
7543,38,1,4161
7545,38,1,4251
7622,38,1,6113
7627,38,1,6181
7631,38,1,6181
7647,38,1,6701
7652,38,1,6933
7654,38,1,7327
7661,38,1,7607
7666,38,1,8475
7672,38,1,10050
7673,38,1,11258
7739,39,1,2476
7741,39,1,2476
7778,39,1,3831
7779,39,1,3831
7780,39,1,3831
7781,39,1,3831
7784,39,1,3855
7789,39,1,3855
7823,39,1,4926
7837,39,1,5446
7865,39,1,6181
7866,39,1,6260
7879,39,1,7898
7882,39,1,8024
7885,39,1,8465
7954,40,1,2476
7956,40,1,2476
7986,40,1,3554
7991,40,1,3831
7992,40,1,3831
7994,40,1,3855
7999,40,1,3855
8007,40,1,4161
8009,40,1,4161
8036,40,1,4926
8041,40,1,5026
8079,40,1,6137
8081,40,1,6181
8086,40,1,6933
8096,40,1,7310
8097,40,1,7341
8104,40,1,8423
8105,40,1,8592
8171,41,1,2476
8201,41,1,3831
8203,41,1,3831
8205,41,1,3831
8206,41,1,3831
8210,41,1,3855
8215,41,1,3855
8247,41,1,4926
8269,41,1,5446
8293,41,1,6181
8298,41,1,6795
8300,41,1,6933
8301,41,1,6995
8319,41,1,8475
8384,42,1,2476
8386,42,1,2476
8418,42,1,3764
8421,42,1,3831
8422,42,1,3831
8424,42,1,3855
8435,42,1,4161
8437,42,1,4161
8459,42,1,4926
8489,42,1,5927
8507,42,1,6181
8508,42,1,6433
8509,42,1,6470
8512,42,1,6933
8525,42,1,7761
8531,42,1,8942
8597,43,1,2476
8599,43,1,2476
8630,43,1,3831
8631,43,1,3831
8633,43,1,3855
8638,43,1,3855
8647,43,1,4161
8685,43,1,5446
8703,43,1,5927
8718,43,1,6181
8720,43,1,6181
8724,43,1,6470
8725,43,1,6690
8726,43,1,6690
8744,43,1,8895
8815,44,1,2476
8817,44,1,2476
8845,44,1,3554
8848,44,1,3831
8849,44,1,3831
8850,44,1,3831
8851,44,1,3831
8852,44,1,3831
8853,44,1,3831
8855,44,1,3855
8860,44,1,3855
8893,44,1,4926
8912,44,1,5446
8939,44,1,6433
8940,44,1,6470
8956,44,1,8592
8962,44,1,11310
9007,45,1,2476
9009,45,1,2476
9037,45,1,3831
9039,45,1,3831
9042,45,1,3855
9053,45,1,4161
9054,45,1,4161
9055,45,1,4286
9081,45,1,4926
9104,45,1,5721
9129,45,1,6181
9141,45,1,6662
9220,46,1,2476
9222,46,1,2476
9251,46,1,3554
9257,46,1,3831
9259,46,1,3831
9261,46,1,3855
9265,46,1,3855
9299,46,1,4926
9348,46,1,6181
9429,47,1,2476
9431,47,1,2476
9459,47,1,3554
9466,47,1,3831
9469,47,1,3855
9478,47,1,4161
9480,47,1,4161
9506,47,1,4926
9534,47,1,5927
9557,47,1,6181
9561,47,1,6181
9633,48,1,2476
9635,48,1,2476
9660,48,1,3554
9670,48,1,3831
9672,48,1,3831
9674,48,1,3855
9678,48,1,3855
9714,48,1,4926
9763,48,1,6181
9831,49,1,2476
9833,49,1,2476
9860,49,1,3554
9869,49,1,3831
9870,49,1,3831
9873,49,1,3855
9877,49,1,3855
9921,49,1,4926
9940,49,1,5927
9956,49,1,6181
9995,1,1,7425
10009,1,1,9840
10040,1,1,14911
10066,1,1,17505
10092,1,1,24120
10127,2,1,9840
10128,2,1,9840
10131,2,1,9840
10204,2,1,18796
10212,2,1,21915
10254,3,1,9840
10255,3,1,9840
10261,3,1,9840
10262,3,1,9840
